Publication.Year,Study.Name,Study.Name.numbered,Title,Journal,Paper.Notes,WoS.Search,Google.Scholar,Partial.database,Original.Source_Publication.Year,Uses.Hatching.Success_Failure,Uses.Hatchability,Study.Start,Study.End,Order,Common.Name,IUCN.Name,BirdTree.Tip,IUCN.Status.Current.Parent,Regional.Threat.Status,IUCN.Status.Current_SUB,Threat_Status_SUB,Latitude,Longitude,Wild.Managed.Captive,Incubation,Nestboxes.Burrows.Sites,Supplementary.Feeding,Mean.Hatching.Failure.std,Mean.Hatching.Success.std,Standard.Error,Standard.Deviation,Clutch.Size.BoW,Clutch.Size.NZBO,Av.Clutch.Size,Av.Clutch.Size.Mean,Cooney2020_log.Clutch.Size,Cooney2020_10^.Clutch.Size,Nest.Clutch.no,Eggs.no,Eggs.StudyClutch.Mean,Eggs.CooneyClutch,Egg.NZBO.Clutch.Size,Egg.BoW.Clutch.Size,Total,Cases,Proportion,Standardised.Hatching.Success.Definition,Standardised.Hatchability.Definition,Other.Definition,Calculations.Estimations_HatchingFailure,Calculations.Estimations_TotalEggs,TotalEggs_Summary
2011,Angulo-Gastelum et al. 2011,Angulo-Gastelum et al. 2011 (02),"Breeding ecology of the Royal Tern (Thalasseus maximus) at Isla el Rancho, Mexico: Colony size and nest location affect predation",Ornitologia Neotropical,NA,YES,NO,NO,2011,YES,NO,2007,2007,Charadriiformes,Royal Tern,Thalasseus_maximus,Sterna_maxima,NA,,LC,Non-threatened,25.1666670,-108.3833330,Wild,Natural,No,No,2.941176471,97.05882353,0.00,0.00,,,1.047619048,1.047619048,0.176091259,1.5,63,68,66,94.5,NA,NA,68,66,0.970588235,Not stated,NA,NA,HS% calculated from text,NA,Actual total
2004,Antczak et al. 2004,Antczak et al. 2004,Breeding Biology of the Great Grey Shrike Lanius excubitor in W Poland,Acta Ornithologica,NA,YES,NO,NO,2004,YES,NO,1999,2003,Passeriformes,Great Grey Shrike,Lanius_excubitor,Lanius_excubitor,NA,,LC,Non-threatened,51.8833335,18.1583335,Wild,Natural,No,No,7.476635514,92.52336449,0.00,0.00,,,6.6 ± 0.96,6.6,0.718086295,5.225,16,107,105.6,83.6,NA,NA,107,99,0.925233645,Percentage/Proportion of eggs that hatched out of eggs laid,NA,NA,NA,NA,Actual total
2008,Aourir et al. 2008,Aourir et al. 2008 (01),Reproductive parameters in captive hand-reared Black-bellied Sandgrouse,Zoo Biology,Also found via Dataset Search - 'egg hatching success',YES,NO,NO,2008,NO,YES,2004,2006,Pterocliformes,Black-bellied Sandgrouse,Pterocles_orientalis,Pterocles_orientalis,NA,,LC,Non-threatened,31.6640670,-8.0006780,Captive,Artificial,No,Yes,62.5,37.5,0.00,0.00,,,2.23 ± 0.43,2.23,0.45331834,2.84,14,32,31.22,39.76,NA,NA,32,12,0.375,NA,Not stated,NA,HS% calculated from Table 4,NA,Actual total
2008,Aourir et al. 2008,Aourir et al. 2008 (02),Reproductive parameters in captive hand-reared Black-bellied Sandgrouse,Zoo Biology,Also found via Dataset Search - 'egg hatching success',YES,NO,NO,2008,NO,YES,2004,2006,Pterocliformes,Black-bellied Sandgrouse,Pterocles_orientalis,Pterocles_orientalis,NA,,LC,Non-threatened,31.6640670,-8.0006780,Captive,Artificial,No,Yes,27.77777778,72.22222222,0.00,0.00,,,2.84 ± 0.37,2.84,0.45331834,2.84,19,54,53.96,53.96,NA,NA,54,39,0.722222222,NA,Not stated,NA,HS% calculated from Table 4,NA,Actual total
2008,Aourir et al. 2008,Aourir et al. 2008 (03),Reproductive parameters in captive hand-reared Black-bellied Sandgrouse,Zoo Biology,Also found via Dataset Search - 'egg hatching success',YES,NO,NO,2008,NO,YES,2004,2006,Pterocliformes,Black-bellied Sandgrouse,Pterocles_orientalis,Pterocles_orientalis,NA,,LC,Non-threatened,31.6640670,-8.0006780,Captive,Artificial,No,Yes,45.45454545,54.54545455,0.00,0.00,,,2.75 ± 0.44,2.75,0.45331834,2.84,20,55,55,56.8,NA,NA,55,30,0.545454545,NA,Not stated,NA,HS% calculated from Table 4,NA,Actual total
2013,Aourir et al. 2013,Aourir et al. 2013 (01),Wild-laid versus captive-laid eggs in the black-bellied sandgrouse: Is there any effect on chick productivity?,Zoo Biology,NA,YES,NO,NO,2013,NO,YES,2003,2004,Pterocliformes,Black-bellied Sandgrouse,Pterocles_orientalis,Pterocles_orientalis,NA,,LC,Non-threatened,31.6640670,-8.0006780,Wild managed,Artificial,No,No,45.29,54.71,0.00,0.00,,,NA,NA,0.45331834,2.84,NA,53,NA,NA,NA,NA,53,28.9963,0.5471,NA,Percentage/Proportion of eggs that hatched out of incubated eggs [Hatchability of incubated eggs]; Percentage/Proportion of eggs that hatched out of fertilised eggs [Hatchability of fertile eggs],NA,NA,NA,Actual total
2013,Aourir et al. 2013,Aourir et al. 2013 (02),Wild-laid versus captive-laid eggs in the black-bellied sandgrouse: Is there any effect on chick productivity?,Zoo Biology,NA,YES,NO,NO,2013,NO,YES,2004,2006,Pterocliformes,Black-bellied Sandgrouse,Pterocles_orientalis,Pterocles_orientalis,NA,,LC,Non-threatened,31.6640670,-8.0006780,Captive,Artificial,No,Yes,42.56,57.44,0.00,0.00,,,NA,NA,0.45331834,2.84,NA,141,NA,NA,NA,NA,141,80.9904,0.5744,NA,Percentage/Proportion of eggs that hatched out of incubated eggs [Hatchability of incubated eggs]; Percentage/Proportion of eggs that hatched out of fertilised eggs [Hatchability of fertile eggs],NA,NA,NA,Actual total
2004,Aragones 2004,Aragones 2004,Breeding biology of the Red-necked Nightjar Caprimulgus ruficollis in southern Spain,Ardeola,NA,YES,NO,NO,2004,YES,NO,1994,1995,Caprimulgiformes,Red-necked Nightjar,Caprimulgus_ruficollis,Caprimulgus_ruficollis,NA,,LC,Non-threatened,37.9166670,4.9166670,Wild,Natural,No,No,8.108108108,91.89189189,0.00,0.00,,,1.85 ± 0.37,1.85,NA,NA,20,37,37,NA,NA,NA,37,34,0.918918919,Percentage/Proportion of eggs that hatched,NA,NA,NA,NA,Actual total
2012,Astie & Luchesi 2012,Astie & Luchesi 2012,Reproductive success of the Creamy-Bellied Thrush in a southern temperate zone,The Wilson Journal of Ornithology,NA,YES,NO,NO,2012,YES,NO,1999,2002,Passeriformes,Creamy-bellied Thrush,Turdus_amaurochalinus,Turdus_amaurochalinus,NA,,LC,Non-threatened,-32.8500000,-68.7000000,Wild,Natural,No,No,26,74,3.00,NA,,,3,3,NA,NA,109,NA,327,NA,NA,NA,327,241.98,0.74,Percentage/Proportion of eggs that hatched out of eggs that survived the entire incubation period,NA,NA,NA,Total eggs estimated based on mean clutch size from study and number of clutches from text,Estimated from study mean
2006,Astie & Reboreda 2006,Astié & Reboreda 2006 (01),Costs of egg punctures and parasitism by Shiny Cowbirds (Molothrus Bonariensis) at Creamy-Bellied Thrush (Turdus Amaurochalinus) nests,The Auk,NA,YES,NO,NO,2006,YES,YES,1999,2002,Passeriformes,Creamy-bellied Thrush,Turdus_amaurochalinus,Turdus_amaurochalinus,NA,,LC,Non-threatened,-32.8500000,-68.7000000,Wild,Natural,No,No,32.58064516,67.41935484,6.77,NA,,,3.1 ± 0.07,3.1,NA,NA,28,NA,86.8,NA,NA,NA,86.8,58.52,0.674193548,Percentage/Proportion of eggs that hatched out of eggs that survived the entire incubation period,Not stated,NA,HS% extracted from Figure 3 using WebPlotDigitizer,Total eggs estimated based on mean clutch size from study and number of clutches from text,Estimated from study mean
2006,Astie & Reboreda 2006,Astié & Reboreda 2006 (02),Costs of egg punctures and parasitism by Shiny Cowbirds (Molothrus Bonariensis) at Creamy-Bellied Thrush (Turdus Amaurochalinus) nests,The Auk,NA,YES,NO,NO,2006,YES,YES,1999,2002,Passeriformes,Creamy-bellied Thrush,Turdus_amaurochalinus,Turdus_amaurochalinus,NA,,LC,Non-threatened,-32.8500000,-68.7000000,Wild,Natural,No,No,10,90,3.39,NA,,,3.1 ± 0.07,3.1,NA,NA,23,NA,71.3,NA,NA,NA,71.3,64.17,0.9,Percentage/Proportion of eggs that hatched out of eggs that survived the entire incubation period,Not stated,NA,HS% extracted from Figure 3 using WebPlotDigitizer,Total eggs estimated based on mean clutch size from study and number of clutches from text,Estimated from study mean
2011,Ballantyne & Nol 2011,Ballantyne & Nol 2011,"Nesting habitat selection and hatching success of Whimbrels near Churchill, Manitoba, Canada",Waterbirds,NA,YES,NO,NO,2011,YES,NO,2007,2008,Charadriiformes,Whimbrel/Icelandic Whimbrel,Numenius_phaeopus,Numenius_phaeopus,NA,,LC,Non-threatened,58.7333330,-94.0666670,Wild,Natural,No,No,4.62962963,95.37037037,0.00,0.00,,,NA,NA,0.592454351,3.9125,NA,108,NA,NA,NA,NA,108,103,0.953703704,Percentage/Proportion of successful clutches/nests (at least one egg hatched) out of total monitored clutches/nests,NA,NA,HS% calculated from text,Total eggs calculated from text,Actual total
2019,Bank et al. 2019,Bank et al. 2019,Nesting success and productivity of the Common Barn-owl Tyto alba: Results from a nest box installation and long-term breeding monitoring program in Southern Hungary,Ornis Hungarica,NA,NO,"""hatching success""",NO,2019,YES,NO,1995,2018,Strigiformes,Common Barn-owl,Tyto_alba,Tyto_alba,NA,,LC,Non-threatened,46.0666670,18.2333330,Wild managed,Natural,Yes,No,20.19,79.81,0.93,NA,,,6.84 ± 0.05,6.84,0.721707592,5.26875,797,5454,5451.48,4199.19375,NA,NA,5454,4352.8374,0.7981,Percentage/Proportion of eggs that hatched per clutch/nest,NA,NA,NA,Total eggs calculated from Table 1,Actual total
2020,Bao et al. 2020,Bao et al. 2020,"Egg investment strategies adopted by a desertic passerine, the Saxaul Sparrow (Passer ammodendri)",Avian Research,NA,YES - post-search alert,NO,NO,2020,NO,YES,2010,2017,Passeriformes,Saxaul Sparrow,Passer_ammodendri,Passer_ammodendri,NA,,LC,Non-threatened,40.3500000,96.2166670,Wild managed,Natural,Yes,No,18,82,NA,19.00,,,5.13 ± 0.89,5.13,NA,NA,774,NA,3970.62,NA,NA,NA,3970.62,3255.9084,0.82,NA,Percentage/Proportion of eggs that hatched out of eggs that survived the entire incubation period,NA,NA,Total eggs estimated based on mean clutch size from study and number of clutches from text,Estimated from study mean
2009,Barri et al. 2009,Barri et al. 2009,"Reproductive success of wild Lesser Rheas (Pterocnemia-Rhea-pennata pennata) in north-western Patagonia, Argentina",Journal of Ornithology,NA,YES,NO,NO,2009,YES,YES,2004,2006,Struthioniformes,Lesser Rhea (Darwin's),Rhea_pennata_pennata,Rhea_pennata,LC,Not Evaluated,LC,Non-threatened,-41.1286110,-71.2516670,Wild,Natural,No,No,25.6,74.4,11.30,NA,,,﻿20.8 ± 6.4,﻿20.8,NA,NA,23,479,NA,NA,NA,NA,479,356.376,0.744,Percentage/Proportion of eggs that hatched in successful clutches/nests (at least one egg hatched),Not stated,NA,NA,NA,Actual total
2005,Bartlett et al. 2005,Bartlett et al. 2005,Division of labor: Incubation and biparental care in House Sparrows (Passer domesticus),The Auk,NA,YES,NO,NO,2005,YES,NO,2000,2001,Passeriformes,House Sparrow,Passer_domesticus,Passer_domesticus,NA,,LC,Non-threatened,35.2059460,-97.4456920,Wild managed,Natural,Yes,No,10.6,89.4,NA,15.00,,,2-6 eggs,4,0.640150041,4.366666667,47,NA,188,205.2333333,NA,NA,188,168.072,0.894,Percentage/Proportion of eggs that hatched per clutch/nest,NA,NA,NA,Total eggs estimated based on mean clutch size from study and number of clutches from text,Estimated from study mean
2019,Beier & Fontana 2019,Beier & Fontana 2019,Breeding biology of the endangered Yellow Cardinal Gubernatrix cristata in Brazil,Revista Brasileria de Ornitologia,NA,YES,NO,NO,2019,NO,NO,2013,2015,Passeriformes,Yellow Cardinal,Gubernatrix_cristata,Gubernatrix_cristata,NA,,EN,Threatened,-30.2081550,-57.5528820,Wild,Natural,No,No,24,76,NA,25.00,,,2.95 ± 0.52,2.95,NA,NA,14,NA,41.3,NA,NA,NA,41.3,31.388,0.76,Percentage/Proportion of eggs that hatched out of eggs that survived the entire incubation period [Hatching Rate],NA,[Hatching Rate] Ratio between the number of hatchlings and the number of eggs at hatching,NA,Total eggs estimated based on mean clutch size from study and number of clutches from text,Estimated from study mean
2005,Beissinger et al. 2005,Beissinger et al. 2005,The shelf life of bird eggs: testing egg viability using a tropical climate gradient,Ecology,NA,YES,NO,NO,2005,YES,YES,NA,NA,Passeriformes,Pearly-eyed Thrasher,Margarops_fuscatus,Margarops_fuscatus,NA,,LC,Non-threatened,18.3000000,-65.3000000,Wild managed,Natural,Yes,No,15.7,84.3,0.00,0.00,,,3-4 eggs,3.5,NA,NA,NA,178,NA,NA,NA,NA,178,150.054,0.843,Percentage/Proportion of eggs that hatched out of eggs laid,Not stated,NA,NA,NA,Actual total
2008,Beissinger et al. 2008,Beissinger et al. 2008,Anatomy of a bottleneck: Diagnosing factors limiting population growth in the Puerto Rican parrot,Ecological Monographs,NA,YES,NO,YES,2008,YES,YES,1973,2000,Psittaciformes,Puerto Rican Amazon/Puerto Rican Parrot,Amazona_vittata,Amazona_vittata,NA,,CR,Threatened,18.2953480,-65.8000430,Wild managed,Natural,No,No,29.4,70.6,0.10,NA,,,NA,NA,0.45484486,2.85,NA,389,NA,NA,NA,NA,389,274.634,0.706,Not stated,"Percentage/Proportion of eggs that hatched, excluding failure due to desertion, predation, accident, or flooding",NA,NA,NA,Actual total
2014,Berkunsky et al. 2014,Berkunsky et al. 2014,Reproductive parameters in the critically endangered blue-throated Macaw: Limits to the recovery of a parrot under intensive management,PLoS ONE,NA,YES,NO,NO,2014,YES,NO,2007,2012,Psittaciformes,Blue-throated Macaw,Ara_glaucogularis,Ara_glaucogularis,NA,,CR,Threatened,-15.4365370,-65.6872940,Wild managed,Natural,Yes,No,38.88888889,61.11111111,0.00,0.00,,,2.53 ± 0.10,2.53,NA,NA,29,72,73.37,NA,NA,NA,72,44,0.611111111,Percentage/Proportion of eggs that hatched out of eggs that survived the entire incubation period,NA,NA,HS% calculated from text,Total eggs calculated from text,Actual total
2017,Berkunsky et al. 2017,Berkunsky et al. 2017,Reproductive parameters of the Turquoise-fronted Parrot (Amazona aestiva) in the dry Chaco forest,Avian Conservation and Ecology,NA,YES,NO,YES,2017,YES,NO,2002,2006,Psittaciformes,Turquoise-fronted Amazon/Blue-fronted Parrot/Turquoise-fronted Parrot,Amazona_aestiva,Amazona_aestiva,NA,,NT,Non-threatened,-25.4670510,-61.8987070,Wild,Natural,No,No,29.70711297,70.29288703,3.00,NA,,,3.68 ± 0.10,3.68,NA,NA,67,239,246.56,NA,NA,NA,239,168,0.70292887,Percentage/Proportion of eggs that hatched,NA,NA,HS% calculated from text,Total eggs calculated from text,Actual total
2017,Bernard-Laurent et al. 2017,Bernard-Laurent et al. 2017 (01),The reproductive biology of the Rock Partridge Alectoris graeca saxatilis in the southern French Alps: First evidence of double-nesting behaviour,Bird Study,NA,YES,NO,NO,2017,YES,NO,2012,2016,Galliformes,Rock Partridge [saxatilis],Alectoris_graeca_saxatilis,Alectoris_graeca,NT,Not Evaluated (EEA); Annex I,NT,Non-threatened,44.6833330,5.9333330,Wild,Natural,No,No,9,91,NA,NA,,,11.0 ± 1.6,11,1.042050203,11.0166665,9,NA,99,NA,NA,NA,99,90.09,0.91,Percentage/Proportion of eggs that hatched in successful clutches/nests (at least one egg hatched),NA,NA,NA,Total eggs estimated based on mean clutch size from study and number of clutches from text,Estimated from study mean
2017,Bernard-Laurent et al. 2017,Bernard-Laurent et al. 2017 (02),The reproductive biology of the Rock Partridge Alectoris graeca saxatilis in the southern French Alps: First evidence of double-nesting behaviour,Bird Study,NA,YES,NO,NO,2017,YES,NO,2012,2016,Galliformes,Rock Partridge [saxatilis],Alectoris_graeca_saxatilis,Alectoris_graeca,NT,Not Evaluated (EEA); Annex I,NT,Non-threatened,44.6833330,5.9333330,Wild,Natural,No,No,8,92,NA,NA,,,9.5 ± 1.2,9.5,1.042050203,11.0166665,14,NA,133,NA,NA,NA,133,122.36,0.92,Percentage/Proportion of eggs that hatched in successful clutches/nests (at least one egg hatched),NA,NA,NA,Total eggs estimated based on mean clutch size from study and number of clutches from text,Estimated from study mean
2018,Blevin et al. 2018,Blevin et al. 2018,"Organochlorines, perfluoroalkyl substances, mercury, and egg incubation temperature in an Arctic seabird: Insights from data loggers",Environmental Toxicology and Chemistry,NA,YES,NO,NO,2018,YES,YES,2015,2015,Charadriiformes,Black-legged Kittiwake/Arctic Black-legged Kittiwake,Rissa_tridactyla,Rissa_tridactyla,NA,,VU,Threatened,78.9000000,12.2166670,Wild,Natural,No,No,25,75,0.00,0.00,,,2,2,0.301753253,2.0033335,20,20,NA,NA,NA,NA,20,15,0.75,Not stated,Not stated,NA,HS% calculated from text,NA,Actual total
2007,Boessenkool et al. 2007,Boessenkool et al. 2007 (01),Large mainland populations of South Island robins retain greater genetic diversity than offshore island refuges,Conservation Genetics,Original source = Mackintosh (unpub.),YES,NO,YES,NA,YES,NO,2004,2004,Passeriformes,South Island Robin [australis],Petroica_australis_australis,Petroica_australis,LC,Not threatened (NZTCS),LC,Non-threatened,-41.0919510,174.2742200,Wild,Natural,No,No,36.6,63.4,8.70,NA,,2.7,NA,NA,0.408663874,2.5625,16,NA,NA,NA,43.2,NA,43.2,27.3888,0.634,"Percentage/Proportion of eggs that hatched out of eggs that survived the entire incubation period, excluding failure due to desertion, predation, or accident",NA,NA,NA,Total eggs estimated based on clutch size from New Zealand Birds Online and number of clutches from text,Estimated from NZ birds online
2007,Boessenkool et al. 2007,Boessenkool et al. 2007 (02),Large mainland populations of South Island robins retain greater genetic diversity than offshore island refuges,Conservation Genetics,NA,YES,NO,YES,2007,YES,NO,2004,2004,Passeriformes,South Island Robin [australis],Petroica_australis_australis,Petroica_australis,LC,Not threatened (NZTCS),LC,Non-threatened,-46.9315340,168.1251760,Wild,Natural,No,No,15.6,84.4,7.40,NA,,2.7,NA,NA,0.408663874,2.5625,16,NA,NA,NA,43.2,NA,43.2,36.4608,0.844,"Percentage/Proportion of eggs that hatched out of eggs that survived the entire incubation period, excluding failure due to desertion, predation, or accident",NA,NA,NA,Total eggs estimated based on clutch size from New Zealand Birds Online and number of clutches from text,Estimated from NZ birds online
2007,Boessenkool et al. 2007,Boessenkool et al. 2007 (03),Large mainland populations of South Island robins retain greater genetic diversity than offshore island refuges,Conservation Genetics,NA,YES,NO,YES,2007,YES,NO,2004,2004,Passeriformes,South Island Robin [australis],Petroica_australis_australis,Petroica_australis,LC,Not threatened (NZTCS),LC,Non-threatened,-45.0600440,167.9964010,Wild,Natural,No,No,4.2,95.8,2.80,NA,,2.7,NA,NA,0.408663874,2.5625,16,NA,NA,NA,43.2,NA,43.2,41.3856,0.958,"Percentage/Proportion of eggs that hatched out of eggs that survived the entire incubation period, excluding failure due to desertion, predation, or accident",NA,NA,NA,Total eggs estimated based on clutch size from New Zealand Birds Online and number of clutches from text,Estimated from NZ birds online
2004,Boland 2004,Boland 2004,"Breeding biology of Rainbow Bee-Eaters (Merops ornatus): a migratory, colonial, cooperative bird",The Auk,Also in Stewart & Westneat (2013) Appendix 1,YES,NO,NO,2004,YES,NO,1997,2001,Coraciiformes,Rainbow Bee-eater,Merops_ornatus,Merops_ornatus,NA,,LC,Non-threatened,-26.0000000,153.0333330,Wild,Natural,No,No,23.38709677,76.61290323,0.00,0.00,,,4.49 ± 0.87,4.49,0.672867217,4.7083335,138,620,619.62,649.750023,NA,NA,620,475,0.766129032,Not stated,NA,NA,NA,NA,Actual total
2020,Bollinger 2020,Bollinger 2020 (01),Incubation onset and hatching asynchrony in Eastern Bluebirds: Consequences for eggs and nestlings,PhD Dissertation,Chapter 1 published as Bollinger et al. (2018) = different from this data,NO,NO,NO,2020,YES,YES,2008,2016,Passeriformes,Eastern Bluebird,Sialia_sialis,Sialia_sialis,NA,,LC,Non-threatened,39.6000000,-88.2000000,Wild managed,Natural,Yes,No,4,96,NA,8.00,,,﻿4.48 ± 0.59 to 4.91 ± 0.56,4.695,0.646403726,4.43,144,NA,676.08,637.92,NA,NA,676.08,649.0368,0.96,Percentage/Proportion of eggs that hatched out of eggs laid,Not stated,NA,NA,Total eggs estimated based on mean clutch size from study and number of clutches from text,Estimated from study mean
